query	nugget_id	same_as
0126	1C2-E-TEST-0126-16.4	1C2-E-TEST-0126-1.6
0036	1C2-E-TEST-0036-100.72	1C2-E-TEST-0036-1.2
0036	1C2-E-TEST-0036-259.21	1C2-E-TEST-0036-1.2
0036	1C2-E-TEST-0036-39.45	1C2-E-TEST-0036-1.2
0036	1C2-E-TEST-0036-374.22	1C2-E-TEST-0036-100.6
0036	1C2-E-TEST-0036-39.80	1C2-E-TEST-0036-1.47
0036	1C2-E-TEST-0036-68.39	1C2-E-TEST-0036-1.1
0036	1C2-E-TEST-0036-68.27	1C2-E-TEST-0036-259.14
0036	1C2-E-TEST-0036-39.37	1C2-E-TEST-0036-259.15
0036	1C2-E-TEST-0036-68.26	1C2-E-TEST-0036-259.13
0036	1C2-E-TEST-0036-68.32	1C2-E-TEST-0036-39.41
0036	1C2-E-TEST-0036-68.35	1C2-E-TEST-0036-39.46
0036	1C2-E-TEST-0036-68.61	1C2-E-TEST-0036-39.90
0037	1C2-E-TEST-0037-132.23	1C2-E-TEST-0037-140.29
0037	1C2-E-TEST-0037-66.21	1C2-E-TEST-0037-140.19
0037	1C2-E-TEST-0037-66.15	1C2-E-TEST-0037-140.34
0037	1C2-E-TEST-0037-66.10	1C2-E-TEST-0037-140.17
0070	1C2-E-TEST-0070-144.66	1C2-E-TEST-0070-122.48
0070	1C2-E-TEST-0070-122.35	1C2-E-TEST-0070-144.41
0070	1C2-E-TEST-0070-144.48	1C2-E-TEST-0070-122.41
0070	1C2-E-TEST-0070-144.65	1C2-E-TEST-0070-122.47
0070	1C2-E-TEST-0070-32.17	1C2-E-TEST-0070-32.27
0070	1C2-E-TEST-0070-144.9	1C2-E-TEST-0070-122.13
0070	1C2-E-TEST-0070-144.34	1C2-E-TEST-0070-122.30	
0073	1C2-E-TEST-0073-142.11	1C2-E-TEST-0073-154.6
0073	1C2-E-TEST-0073-74.20	1C2-E-TEST-0073-74.19
0073	1C2-E-TEST-0073-74.21	1C2-E-TEST-0073-74.19
0073	1C2-E-TEST-0073-74.24	1C2-E-TEST-0073-74.19
0038	1C2-E-TEST-0038-80.10	1C2-E-TEST-0038-1.29
0038	1C2-E-TEST-0038-80.6	1C2-E-TEST-0038-1.25
0038	1C2-E-TEST-0038-80.8	1C2-E-TEST-0038-1.27
0038	1C2-E-TEST-0038-80.9	1C2-E-TEST-0038-1.28
0050	1C2-E-TEST-0050-3.299	1C2-E-TEST-0050-123.195
0050	1C2-E-TEST-0050-3.309	1C2-E-TEST-0050-123.198
0050	1C2-E-TEST-0050-3.314	1C2-E-TEST-0050-123.202
0050	1C2-E-TEST-0050-39.47	1C2-E-TEST-0050-123.202
0050	1C2-E-TEST-0050-3.315	1C2-E-TEST-0050-123.203
0050	1C2-E-TEST-0050-3.316	1C2-E-TEST-0050-123.204
0050	1C2-E-TEST-0050-39.49	1C2-E-TEST-0050-123.204
0050	1C2-E-TEST-0050-5.197	1C2-E-TEST-0050-123.204
0050	1C2-E-TEST-0050-3.317	1C2-E-TEST-0050-123.205
0050	1C2-E-TEST-0050-39.50	1C2-E-TEST-0050-123.205
0050	1C2-E-TEST-0050-5.199	1C2-E-TEST-0050-123.205
0050	1C2-E-TEST-0050-39.18	1C2-E-TEST-0050-3.275
0050	1C2-E-TEST-0050-39.22	1C2-E-TEST-0050-3.279
0050	1C2-E-TEST-0050-39.23	1C2-E-TEST-0050-123.184
0050	1C2-E-TEST-0050-5.72	1C2-E-TEST-0050-123.189
0050	1C2-E-TEST-0050-39.32	1C2-E-TEST-0050-123.193
0050	1C2-E-TEST-0050-39.34	1C2-E-TEST-0050-123.195
0050	1C2-E-TEST-0050-5.90	1C2-E-TEST-0050-123.195
0050	1C2-E-TEST-0050-39.35	1C2-E-TEST-0050-123.196
0050	1C2-E-TEST-0050-39.37	1C2-E-TEST-0050-123.198
0050	1C2-E-TEST-0050-39.46	1C2-E-TEST-0050-3.313
0050	1C2-E-TEST-0050-39.51	1C2-E-TEST-0050-123.206
0203	1C2-E-TEST-0203-274.28	1C2-E-TEST-0203-274.24
0202	1C2-E-TEST-0202-2.3	1C2-E-TEST-0202-15.3
0202	1C2-E-TEST-0202-2.4	1C2-E-TEST-0202-15.4
0202	1C2-E-TEST-0202-2.6	1C2-E-TEST-0202-15.6
0202	1C2-E-TEST-0008-128.2	1C2-E-TEST-0008-127.9
0202	1C2-E-TEST-0008-148.3	1C2-E-TEST-0008-127.9
0202	1C2-E-TEST-0008-148.5	1C2-E-TEST-0008-128.4
0202	1C2-E-TEST-0008-159.5	1C2-E-TEST-0008-128.4
0202	1C2-E-TEST-0008-32.11	1C2-E-TEST-0008-128.4
0202	1C2-E-TEST-0008-32.9	1C2-E-TEST-0008-108.3
0202	1C2-E-TEST-0008-159.3	1C2-E-TEST-0008-108.3
0202	1C2-E-TEST-0008-35.3	1C2-E-TEST-0008-127.9
0202	1C2-E-TEST-0008-35.6	1C2-E-TEST-0008-128.4
0202	1C2-E-TEST-0008-6.6	1C2-E-TEST-0008-127.5
0202	1C2-E-TEST-0008-6.9	1C2-E-TEST-0008-127.14
0202	1C2-E-TEST-0008-181.4	1C2-E-TEST-0008-159.6
0202	1C2-E-TEST-0008-32.12	1C2-E-TEST-0008-159.6
0202	1C2-E-TEST-0008-35.9	1C2-E-TEST-0008-159.6
0010	1C2-E-TEST-0010-184.9	1C2-E-TEST-0010-184.4
0010	1C2-E-TEST-0010-67.19	1C2-E-TEST-0010-112.5
0010	1C2-E-TEST-0010-67.20	1C2-E-TEST-0010-15.6
0010	1C2-E-TEST-0010-67.7	1C2-E-TEST-0010-184.11
0009	1C2-E-TEST-0009-163.26	1C2-E-TEST-0009-114.3
0009	1C2-E-TEST-0009-19.128	1C2-E-TEST-0009-163.168
0009	1C2-E-TEST-0009-99.21	1C2-E-TEST-0009-159.183
0009	1C2-E-TEST-0009-114.46	1C2-E-TEST-0009-163.78
0009	1C2-E-TEST-0009-19.68	1C2-E-TEST-0009-163.78
0167	1C2-E-TEST-0167-87.4	1C2-E-TEST-0167-87.7
0167	1C2-E-TEST-0167-87.6	1C2-E-TEST-0167-163.3
0167	1C2-E-TEST-0167-87.8	1C2-E-TEST-0167-163.5
0121	1C2-E-TEST-0121-10.12	1C2-E-TEST-0121-10.11
0121	1C2-E-TEST-0121-10.17	1C2-E-TEST-0121-10.16
0121	1C2-E-TEST-0121-10.18	1C2-E-TEST-0121-10.16
0121	1C2-E-TEST-0121-10.19	1C2-E-TEST-0121-10.16
0121	1C2-E-TEST-0121-10.31	1C2-E-TEST-0121-10.30
0173	1C2-E-TEST-0173-87.16	1C2-E-TEST-0173-64.5
0005	1C2-E-TEST-0005-2.14	1C2-E-TEST-0005-164.11
0005	1C2-E-TEST-0005-250.12	1C2-E-TEST-0005-164.12
0005	1C2-E-TEST-0005-40.19	1C2-E-TEST-0005-164.12
0005	1C2-E-TEST-0005-250.3	1C2-E-TEST-0005-124.6
0005	1C2-E-TEST-0005-40.1	1C2-E-TEST-0005-124.6
0005	1C2-E-TEST-0005-3.8	1C2-E-TEST-0005-164.11
0005	1C2-E-TEST-0005-40.14	1C2-E-TEST-0005-35.12
0017	1C2-E-TEST-0017-7.17	1C2-E-TEST-0017-69.11
0007	1C2-E-TEST-0007-1.024	1C2-E-TEST-0007-1.002
